Archer	1	78	62	65
Bob	2	69	56	63
Caster	3	55	70	67
Doran	4	88	91	100
Elsie	5	72	70	86
Froggan	6	94	91	77
Gilgamesh	7	62	60	75
Hentai	8	67	86	64
Inori	9	85	86	73
Jizz	10	53	92	84
Krauser	11	68	85	95
Lily	12	79	82	87
Maid	13	50	94	88
Nick	14	97	77	94
Otaku	15	50	80	70
Pi	16	91	97	86
Queen	17	90	78	59
Ruri	18	78	60	69
Suck	19	57	52	93
Tango	20	51	94	92
Universe	21	53	83	60
Volvo	22	72	81	100
Wesker	23	62	89	73
Xman	24	82	96	74
Yuck	25	69	51	71
Zet	26	68	74	54
Asuna	27	86	82	63
Bit	28	71	81	83
Cum	29	64	78	50
Doraemon	30	87	59	69
Elf	31	93	63	99
Fuck	32	55	90	79
Gate	33	67	96	79
Hunk	34	54	51	78
IB	35	76	66	91
Jack	36	53	68	86
Kirito	37	87	89	90
Lime	38	78	63	74
Momo	39	50	98	84
Naruto	40	65	55	85
Oboron	41	72	79	76
Persona	42	64	83	51
Quiz	43	54	52	50
Rape	44	89	92	77
Steins	45	52	75	62
Tvirus	46	73	88	63
Uniqlo	47	55	61	10
Victory	48	66	96	54
Wax	49	53	67	50
Xray	50	54	69	95
Yeah	51	55	97	89
Zebra	52	52	63	76
Angel	53	66	50	71
Berserker	54	99	89	73
ClariS	55	60	92	74
Dick	56	85	58	89
Egiru	57	83	54	62
Frog	58	64	79	52
Gintama	59	80	87	62
Haruhi	60	90	62	96
Ian	61	72	71	79
Jojo	62	57	94	87
Klein	63	74	58	94
Lick	64	88	52	62
Maple	65	97	80	78
Notes	66	66	57	63
Oscar	67	92	71	69
Penis	68	71	91	84
Qurral	69	74	96	68
Robotics	70	93	69	62
Stream	71	63	52	83
Tim	72	57	86	50
Ultra	73	57	60	82
Vim	74	75	59	91
Waste	75	65	84	94
Xmas	76	51	69	86
Yes	77	79	82	53
Zero	78	74	89	83
Alitima	79	97	84	64
Bandai	80	64	86	65
Capcom	81	80	90	87
Dora	82	69	78	64
Elephant	83	80	70	78
Fart	84	54	89	74
Gamania	85	82	97	85
Harruka	86	82	59	97
IS	87	96	69	80
Jess	88	52	87	71
KO	89	56	54	82
LP	90	74	96	55
Miss	91	80	55	95
Neet	92	70	70	60
Orange	93	73	93	74
Pizza	94	99	77	99
Quick	95	74	77	64
Rock	96	79	94	59
Supercell	97	66	66	85
Tindalas	98	59	52	94
Unique	99	55	68	62
Vest	100	56	89	89
